tooltype;steel;stainless;castiron;aluminum;universal;catnum;invnum;unit;grinded;mfr;holdertype;tipdiamm;tipdiainch;shankdia;pitch;neckdia;tslotdp;toollen;splen;worklen;bladecnt;tiptype;tipsize;material;coating;inserttype;cabinet;qty;issued;avail;minqty;secocab;sandvikcab;kennacab;niagaracab;extcab;sourcetable;subtype
Thread Tap;0;0;0;0;1;65RWS593;751.7575.9334;mm;No;KENNAMETAL;HSK-A63;2.5;0.0984;47;M8;N/A;N/A;164.49;71.0;151.22;9;90°;0.4;VHM;None;Type 1;4_C_10;3;0;3;3;N/A;N/A;1_D_10;N/A;9;tool;Blind Hole Thread Tap
T-Slot Mill;0;0;0;0;1;43EDY976;743.5190.2978;mm;No;Sandvik;SK-40;20;0.7874;20;N/A;20;13.5727;151.0;17.7;59.0;3;45°;N/A;HSS;Aluminium Titanium Nitride;Type 3;3_A_10;5;0;5;3;N/A;2_E_10;N/A;N/A;10;tool;Radius T-Slot Mill
Thread Tap;0;1;1;0;0;66WBQ481;750.9245.8886;inch;No;KENNAMETAL;HSK-A63;25.4;1;45;M6;N/A;N/A;158.87;11.61;91.0;10;30°;0.06;HSS;Titanium Nitride;N/A;2_D_4;6;5;1;3;N/A;N/A;2_C_15;N/A;33;tool;Thru-hole Thread Tap
T-Slot Mill;1;0;1;0;0;27XOL197;744.2362.7712;inch;No;Sandvik;SK-40;44.45;1.75;11;N/A;13;8.6945;140.65;15.0;90.0;8;N/A;0.12;VHM;Diamond;N/A;3_A_4;9;4;5;7;N/A;2_E_2;N/A;N/A;13;tool;Radius T-Slot Mill
End Mill;0;0;0;0;1;22RGZ989;755.7543.8871;inch;Yes;Niagara Cutter;SK-40;9.525;0.375;23;N/A;N/A;N/A;74.0;53.1;56.99;6;45°;N/A;HSS;Aluminium Titanium Nitride;Type 1;6_F_15;12;3;9;2;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
T-Slot Mill;0;0;0;0;1;82HSM410;748.4040.7919;inch;No;Sandvik;HSK-A63;38.1;1.5;33;N/A;18;14.5602;190.84;37.0;62.01;10;45°;N/A;VHM;None;Type 2;4_F_6;7;4;3;5;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
End Mill;0;1;0;1;0;46NBB910;731.1371.7824;mm;Yes;Sandvik;SK-40;20;0.7874;32;N/A;N/A;N/A;146.0;111.65;114.08;9;N/A;N/A;HSS;None;Type 1;1_B_3;6;4;2;4;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
End Mill;1;1;1;1;0;51NRX559;776.1822.9106;inch;No;Sandvik;SK-40;38.1;1.5;23;N/A;N/A;N/A;51.0;19.69;33.15;1;45°;0.12;HSS;Aluminium Titanium Nitride;Type 3;2_A_15;6;0;6;3;N/A;N/A;N/A;N/A;0;tool;Variable Helix End Mill
End Mill;1;0;1;0;0;61PBQ374;783.1870.1545;inch;No;SECO;SK-40;50.8;2;30;N/A;N/A;N/A;192.0;45.85;47.25;6;90°;0.03;HSS;Diamond;N/A;1_D_13;14;5;9;12;2_C_2;N/A;N/A;N/A;29;tool;Roughing End Mill
End Mill;0;0;0;0;1;67YXT595;783.2693.5638;inch;No;Sandvik;HSK-A63;50.8;2;20;N/A;N/A;N/A;92.82;42.44;53.15;4;N/A;N/A;VHM;Titanium Nitride;Type 1;4_E_4;7;3;4;0;N/A;3_E_15;N/A;N/A;32;tool;Chamfer Ended End Mill
End Mill;1;0;0;1;0;83HLH917;750.7056.9578;inch;No;SECO;HSK-A63;31.75;1.25;48;N/A;N/A;N/A;93.0;22.0;26.0;4;N/A;N/A;VHM;Titanium Nitride;Type 1;1_A_10;3;3;0;0;3_B_3;N/A;N/A;N/A;33;tool;Roughing End Mill
T-Slot Mill;0;1;0;0;0;33LES724;775.2892.9210;inch;No;Niagara Cutter;SK-40;9.525;0.375;40;N/A;16;10.9089;147.5;69.0;137.0;5;30°;N/A;VHM;Aluminium Titanium Nitride;N/A;6_D_13;2;0;2;0;N/A;N/A;N/A;3_C_14;43;tool;T-Slot Mill
Drill;0;0;1;1;0;17LUJ845;702.3169.7951;mm;No;Niagara Cutter;HSK-A63;4.5;0.1772;46;N/A;N/A;N/A;198.03;35.3;42.0;10;30°;N/A;HSS;None;Type 3;5_C_14;6;2;4;6;N/A;N/A;N/A;4_B_9;2;tool;Modular Drill
Face Mill;1;1;0;1;0;71XIG970;754.4466.4238;inch;Yes;SECO;HSK-A63;6.35;0.25;46;N/A;N/A;N/A;66.0;13.0;20.0;10;90°;N/A;VHM;Diamond;Type 2;1_D_10;11;2;9;11;1_A_4;N/A;N/A;N/A;15;tool;Face Mill
T-Slot Mill;0;0;1;0;0;27NBG586;741.2112.5148;mm;No;SECO;SK-40;2;0.0787;50;N/A;20;8.619;189.0;51.47;71.0;1;45°;N/A;HSS;Aluminium Titanium Nitride;Type 2;6_A_12;4;4;0;4;2_E_13;N/A;N/A;N/A;25;tool;Radius T-Slot Mill
Drill;0;1;1;0;0;72MQT708;776.5028.7655;mm;Yes;Niagara Cutter;SK-40;12;0.4724;17;N/A;N/A;N/A;130.59;41.7;49.0;2;90°;N/A;HSS;Titanium Nitride;Type 3;5_F_9;9;0;9;1;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
End Mill;0;0;0;1;0;66MUS812;715.4908.1026;mm;Yes;Garant;HSK-A63;8;0.315;12;N/A;N/A;N/A;55.0;17.0;21.24;9;90°;0.5;HSS;Titanium Nitride;N/A;3_A_14;11;4;7;4;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
Thread Tap;0;1;0;0;0;98PLR926;751.5376.8356;inch;Yes;KENNAMETAL;SK-40;3.175;0.125;49;2-56;N/A;N/A;171.86;52.24;124.65;3;45°;0.03;VHM;None;Type 2;6_F_3;12;2;10;1;N/A;N/A;4_B_12;N/A;19;tool;Thru-hole Thread Tap
T-Slot Mill;0;0;0;0;0;46YTH709;753.1970.6167;inch;No;Garant;HSK-A63;31.75;1.25;45;N/A;5;14.8224;110.0;42.0;80.09;10;N/A;0.03;HSS;Diamond;N/A;3_F_3;12;3;9;4;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
T-Slot Mill;0;0;0;0;1;99RCH921;790.1355.1784;inch;No;KENNAMETAL;SK-40;12.7;0.5;28;N/A;14;14.0846;79.0;13.87;34.56;10;45°;0.06;HSS;Aluminium Titanium Nitride;N/A;1_E_8;11;5;6;5;N/A;N/A;2_E_4;N/A;46;tool;Radius T-Slot Mill
End Mill;0;0;0;0;1;45AGO304;737.7471.4168;mm;Yes;SECO;SK-40;8;0.315;15;N/A;N/A;N/A;113.0;51.44;60.0;5;30°;2;VHM;Titanium Nitride;N/A;4_D_1;11;5;6;0;4_B_1;N/A;N/A;N/A;44;tool;Chamfer Ended End Mill
End Mill;0;1;1;0;0;91VSI468;775.5586.1942;mm;Yes;Garant;HSK-A63;3;0.1181;45;N/A;N/A;N/A;163.39;53.0;77.75;6;90°;1;VHM;Diamond;Type 2;2_C_10;7;5;2;2;N/A;N/A;N/A;N/A;0;tool;Variable Helix End Mill
Thread Tap;0;0;0;0;1;33UWX752;794.9758.7702;inch;Yes;Sandvik;HSK-A63;3.175;0.125;11;2-56;N/A;N/A;136.26;26.0;51.7;7;45°;0.12;HSS;Diamond;N/A;5_E_11;5;1;4;0;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Drill;0;0;0;0;1;71KUD588;773.5792.9015;mm;Yes;KENNAMETAL;SK-40;20;0.7874;47;N/A;N/A;N/A;172.46;14.0;91.0;2;90°;0.4;VHM;None;Type 2;5_F_14;14;5;9;8;N/A;N/A;4_F_15;N/A;42;tool;Flat-end Drill
Chamfer Mill;0;0;0;0;1;57VJK787;752.3559.4784;inch;No;Sandvik;HSK-A63;50.8;2;16;N/A;N/A;N/A;116.0;33.0;85.0;7;30°;N/A;HSS;Titanium Nitride;N/A;2_A_8;3;2;1;3;N/A;3_D_6;N/A;N/A;26;tool;Double-sided Chamfer Mill
Face Mill;0;0;0;0;1;94HUZ209;741.4368.4206;inch;No;Sandvik;SK-40;9.525;0.375;19;N/A;N/A;N/A;182.0;122.74;161.0;2;30°;N/A;HSS;Diamond;Type 3;4_D_13;7;5;2;7;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
End Mill;0;0;0;0;1;29PHY312;758.2512.1010;mm;No;Niagara Cutter;HSK-A63;10;0.3937;47;N/A;N/A;N/A;78.74;26.0;59.0;4;30°;0.3;VHM;Titanium Nitride;N/A;5_C_14;7;3;4;7;N/A;N/A;N/A;N/A;0;tool;Variable Helix End Mill
Thread Tap;0;0;0;0;1;21NWA925;741.2999.1884;inch;Yes;Garant;HSK-A63;9.525;0.375;18;M3;N/A;N/A;78.0;34.46;64.0;2;90°;N/A;VHM;Titanium Nitride;Type 1;3_B_11;8;4;4;7;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Thread Tap;0;1;0;0;0;22IED538;786.1968.8794;inch;Yes;SECO;HSK-A63;3.175;0.125;15;M12;N/A;N/A;150.0;25.64;112.73;3;N/A;0.03;VHM;None;Type 2;2_D_15;13;5;8;13;4_E_13;N/A;N/A;N/A;38;tool;Blind Hole Thread Tap
Drill;1;0;1;1;0;90NAL189;722.7847.6607;inch;No;Sandvik;SK-40;15.875;0.625;38;N/A;N/A;N/A;75.4;28.53;42.0;1;30°;N/A;VHM;Titanium Nitride;N/A;6_E_2;7;0;7;3;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Chamfer Mill;1;1;0;1;0;84XAT766;727.6501.6589;mm;Yes;Sandvik;SK-40;2.5;0.0984;27;N/A;N/A;N/A;127.55;56.0;76.0;7;90°;2;VHM;Titanium Nitride;Type 2;6_A_13;11;2;9;9;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Drill;0;0;1;1;0;74AJM576;800.7850.8357;mm;No;KENNAMETAL;SK-40;4.5;0.1772;40;N/A;N/A;N/A;152.72;102.44;128.0;10;45°;N/A;HSS;Titanium Nitride;N/A;6_E_13;11;1;10;2;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Sphere Mill;0;1;0;1;0;43DCU623;795.9154.6688;inch;No;SECO;SK-40;44.45;1.75;18;N/A;N/A;N/A;93.0;11.0;23.0;9;30°;N/A;VHM;None;N/A;5_B_7;5;4;1;5;6_C_12;N/A;N/A;N/A;19;tool;Sphere Mill
Chamfer Mill;0;0;0;0;1;61HWP489;700.9112.8965;inch;No;Garant;SK-40;25.4;1;42;N/A;N/A;N/A;79.11;44.0;48.0;6;N/A;N/A;HSS;Diamond;Type 1;6_A_12;3;1;2;2;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
End Mill;0;0;0;0;1;89HXH163;722.5883.8373;inch;No;Sandvik;HSK-A63;50.8;2;35;N/A;N/A;N/A;142.84;41.07;101.0;1;N/A;0.12;VHM;Diamond;Type 2;2_C_6;10;5;5;9;N/A;3_D_5;N/A;N/A;29;tool;Roughing End Mill
Thread Tap;0;0;0;0;1;24JXT415;765.7096.7210;inch;No;Sandvik;HSK-A63;6.35;0.25;12;4-40;N/A;N/A;114.0;20.0;60.69;4;45°;0.12;VHM;Titanium Nitride;N/A;1_F_5;10;4;6;5;N/A;6_F_11;N/A;N/A;45;tool;Thru-hole Thread Tap
Drill;1;0;0;0;0;77NUE454;763.9480.1809;inch;No;Garant;HSK-A63;9.525;0.375;49;N/A;N/A;N/A;189.0;22.0;63.7;10;N/A;0.12;HSS;Diamond;Type 1;5_F_2;4;3;1;3;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Sphere Mill;1;1;0;0;0;38VLM160;748.8014.1686;inch;Yes;Sandvik;SK-40;6.35;0.25;26;N/A;N/A;N/A;75.0;31.92;41.81;1;30°;0.12;VHM;Aluminium Titanium Nitride;N/A;4_C_2;8;0;8;8;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Thread Tap;1;0;1;0;0;15UCQ195;723.5940.1946;inch;No;Sandvik;SK-40;15.875;0.625;48;M8;N/A;N/A;138.81;16.0;47.98;8;N/A;N/A;HSS;None;Type 1;2_B_1;2;2;0;2;N/A;5_A_5;N/A;N/A;49;tool;Blind Hole Thread Tap
Thread Tap;0;0;0;1;0;77KOZ795;713.7154.1701;mm;Yes;KENNAMETAL;HSK-A63;12;0.4724;46;M8;N/A;N/A;83.0;12.0;40.0;5;90°;N/A;VHM;Diamond;N/A;6_E_5;0;0;0;0;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Chamfer Mill;0;0;0;0;1;37NZZ318;778.8825.3189;mm;No;KENNAMETAL;HSK-A63;20;0.7874;17;N/A;N/A;N/A;94.96;60.0;70.0;6;N/A;1;HSS;None;Type 2;2_A_10;2;1;1;0;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Thread Tap;0;0;0;0;1;18BJI799;737.6949.4486;mm;Yes;Niagara Cutter;HSK-A63;20;0.7874;35;M8;N/A;N/A;60.37;34.0;44.0;5;30°;0.4;VHM;Diamond;N/A;5_E_12;1;0;1;1;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Face Mill;0;0;0;0;1;39FVU206;700.2469.5100;inch;No;Garant;SK-40;9.525;0.375;24;N/A;N/A;N/A;77.81;20.0;28.82;9;30°;N/A;VHM;None;Type 1;4_C_10;15;5;10;8;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
End Mill;1;1;0;0;0;89VQA751;745.6963.1040;mm;Yes;KENNAMETAL;HSK-A63;4.5;0.1772;24;N/A;N/A;N/A;127.61;27.0;112.92;9;30°;0.5;VHM;Diamond;Type 3;4_F_10;7;4;3;1;N/A;N/A;5_F_10;N/A;3;tool;Single Flute End Mill
Thread Tap;0;0;0;1;0;62IEI816;757.4325.4568;mm;No;Niagara Cutter;SK-40;1;0.0394;43;2-56;N/A;N/A;52.46;11.0;36.0;6;90°;N/A;HSS;Aluminium Titanium Nitride;Type 1;1_A_14;5;0;5;0;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
End Mill;0;0;0;0;1;67ZWG440;717.7736.1652;inch;Yes;KENNAMETAL;SK-40;3.175;0.125;10;N/A;N/A;N/A;123.0;18.0;78.0;9;90°;N/A;HSS;None;Type 2;5_B_12;12;2;10;7;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Drill;0;0;0;0;1;39YLJ792;750.9651.4970;inch;Yes;KENNAMETAL;HSK-A63;3.175;0.125;29;N/A;N/A;N/A;188.16;28.6;108.19;1;30°;N/A;HSS;Titanium Nitride;Type 1;5_F_6;6;4;2;1;N/A;N/A;6_F_4;N/A;42;tool;Modular Drill
End Mill;0;0;1;1;0;48OYM957;733.3309.6244;mm;No;KENNAMETAL;HSK-A63;1;0.0394;34;N/A;N/A;N/A;169.0;97.87;145.0;10;45°;0.4;HSS;Diamond;Type 1;3_B_11;10;5;5;3;N/A;N/A;N/A;N/A;0;tool;Ball Nose End Mill
Face Mill;0;0;0;0;1;81WZR890;758.4539.1150;mm;No;Garant;HSK-A63;10;0.3937;44;N/A;N/A;N/A;153.0;12.68;23.0;8;90°;N/A;VHM;Diamond;Type 2;6_C_5;6;5;1;2;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Chamfer Mill;0;0;0;0;1;50XFC673;794.7518.8638;inch;Yes;Sandvik;SK-40;44.45;1.75;48;N/A;N/A;N/A;188.82;33.8;175.0;8;N/A;N/A;VHM;Aluminium Titanium Nitride;Type 2;4_B_12;5;0;5;4;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
End Mill;0;0;0;0;1;48EFV483;784.8640.8274;inch;Yes;Sandvik;SK-40;3.175;0.125;33;N/A;N/A;N/A;61.0;17.81;36.0;8;30°;0.03;VHM;None;Type 2;2_C_13;0;0;0;0;N/A;6_C_7;N/A;N/A;44;tool;Ball Nose End Mill
End Mill;1;1;0;0;0;91RIG730;755.7207.7441;inch;Yes;Garant;HSK-A63;38.1;1.5;42;N/A;N/A;N/A;199.0;57.66;146.04;1;90°;N/A;HSS;None;Type 2;5_D_8;12;4;8;11;N/A;N/A;N/A;N/A;0;tool;Ball Nose End Mill
Drill;0;0;0;0;1;73BNA741;798.7001.8411;mm;No;KENNAMETAL;SK-40;6;0.2362;20;N/A;N/A;N/A;58.96;27.0;48.0;2;90°;N/A;HSS;None;Type 1;2_C_2;3;1;2;0;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Chamfer Mill;0;0;0;1;0;82LPQ841;721.5007.9065;inch;Yes;SECO;SK-40;6.35;0.25;28;N/A;N/A;N/A;168.25;12.0;36.08;7;90°;0.12;HSS;None;Type 2;5_F_15;3;2;1;2;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Sphere Mill;0;1;1;0;0;97IAL557;799.1337.1229;inch;No;SECO;SK-40;12.7;0.5;13;N/A;N/A;N/A;177.6;22.21;26.0;5;45°;0.06;VHM;Titanium Nitride;Type 1;4_A_8;13;3;10;8;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
End Mill;0;0;0;0;1;96CAH897;788.1653.6565;inch;No;Garant;SK-40;38.1;1.5;34;N/A;N/A;N/A;84.1;27.19;39.0;2;30°;0.03;HSS;None;Type 3;3_D_1;11;2;9;8;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
Thread Tap;0;0;0;0;1;18YCS788;739.7252.8078;mm;Yes;Niagara Cutter;HSK-A63;16;0.6299;17;M3;N/A;N/A;146.77;42.59;70.0;9;45°;N/A;VHM;Titanium Nitride;N/A;4_D_4;7;0;7;5;N/A;N/A;N/A;6_D_12;50;tool;Blind Hole Thread Tap
Face Mill;0;1;1;0;0;66ZEF118;764.8699.2733;mm;No;Niagara Cutter;HSK-A63;4.5;0.1772;14;N/A;N/A;N/A;183.63;17.0;91.52;9;90°;1;VHM;Diamond;Type 1;1_F_14;8;3;5;1;N/A;N/A;N/A;N/A;0;tool;Face Mill
Drill;0;0;0;1;0;49OVW366;784.5346.5548;inch;Yes;Garant;HSK-A63;12.7;0.5;30;N/A;N/A;N/A;85.35;22.0;34.0;4;N/A;0.12;HSS;Diamond;Type 1;1_F_6;1;0;1;1;N/A;N/A;N/A;N/A;0;tool;Modular Drill
T-Slot Mill;1;1;0;0;0;77JSD955;731.1323.9068;inch;Yes;SECO;SK-40;15.875;0.625;30;N/A;16;6.8039;107.0;36.0;72.0;9;30°;N/A;VHM;Diamond;Type 1;3_A_3;8;4;4;5;6_E_2;N/A;N/A;N/A;30;tool;Radius T-Slot Mill
Thread Tap;1;0;1;0;0;16DHZ909;789.6641.5185;mm;No;KENNAMETAL;HSK-A63;2.5;0.0984;45;M3;N/A;N/A;84.56;10.01;30.42;10;30°;N/A;HSS;Titanium Nitride;N/A;1_E_5;4;4;0;0;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
End Mill;0;0;0;0;1;29CYI198;795.9486.4028;inch;Yes;Sandvik;SK-40;3.175;0.125;16;N/A;N/A;N/A;80.52;18.27;22.86;6;90°;0.12;VHM;None;N/A;3_C_7;9;2;7;1;N/A;6_C_6;N/A;N/A;20;tool;Ball Nose End Mill
Drill;0;0;0;0;0;37QFH375;797.6365.8293;mm;Yes;Sandvik;SK-40;8;0.315;12;N/A;N/A;N/A;165.84;35.0;84.0;2;30°;0.4;VHM;Titanium Nitride;Type 1;6_A_9;12;2;10;0;N/A;3_F_7;N/A;N/A;44;tool;Modular Drill
Chamfer Mill;1;0;1;0;0;49WSS375;773.6681.6979;inch;No;Niagara Cutter;SK-40;15.875;0.625;18;N/A;N/A;N/A;77.0;15.01;22.76;2;90°;0.12;VHM;None;Type 1;1_E_7;7;5;2;5;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Thread Tap;0;0;0;0;1;67NCQ375;717.6584.8493;mm;No;Garant;SK-40;2;0.0787;15;M6;N/A;N/A;71.0;14.5;23.0;7;N/A;N/A;HSS;None;Type 3;3_C_10;6;2;4;3;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
T-Slot Mill;0;0;0;0;1;75BUB677;781.3167.5089;inch;No;Niagara Cutter;SK-40;25.4;1;37;N/A;13;7.9844;140.75;37.0;73.0;3;30°;0.12;HSS;None;Type 1;3_A_8;8;5;3;7;N/A;N/A;N/A;1_B_11;2;tool;T-Slot Mill
Drill;0;0;0;0;1;26HDT675;772.3334.7470;inch;Yes;Garant;HSK-A63;3.175;0.125;36;N/A;N/A;N/A;77.0;49.0;50.87;5;30°;N/A;VHM;None;Type 2;2_B_3;12;2;10;0;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
Thread Tap;0;0;0;0;1;19RZR837;716.1755.7298;inch;Yes;KENNAMETAL;SK-40;6.35;0.25;35;M12;N/A;N/A;108.0;17.34;24.0;3;45°;N/A;HSS;None;Type 3;3_C_10;2;0;2;1;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Face Mill;0;0;0;0;1;68AJD911;711.6123.7869;inch;No;Garant;SK-40;6.35;0.25;16;N/A;N/A;N/A;83.13;11.22;46.96;7;45°;0.06;HSS;Titanium Nitride;Type 3;2_A_9;9;2;7;7;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Sphere Mill;0;0;0;0;1;15BGK582;709.2222.2286;inch;No;Garant;SK-40;50.8;2;16;N/A;N/A;N/A;152.0;24.39;31.0;7;45°;N/A;VHM;None;N/A;6_D_5;9;4;5;6;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
T-Slot Mill;0;0;1;0;0;93ZQE359;763.1174.6391;mm;Yes;Niagara Cutter;SK-40;3.5;0.1378;14;N/A;16;6.5903;95.0;16.0;31.0;2;45°;N/A;HSS;Aluminium Titanium Nitride;Type 2;5_C_10;10;2;8;2;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
End Mill;0;0;0;0;1;90AHF369;732.4011.5049;inch;Yes;Niagara Cutter;SK-40;19.05;0.75;26;N/A;N/A;N/A;199.05;108.0;154.0;5;90°;0.12;VHM;None;N/A;4_A_8;5;2;3;0;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
End Mill;0;0;0;0;1;38REB743;707.4123.3011;inch;No;Niagara Cutter;HSK-A63;3.175;0.125;21;N/A;N/A;N/A;172.0;70.0;165.0;9;30°;0.06;VHM;Aluminium Titanium Nitride;N/A;3_B_3;10;5;5;1;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
Chamfer Mill;0;0;0;0;1;88VDR481;722.6323.8907;inch;No;Sandvik;HSK-A63;3.175;0.125;15;N/A;N/A;N/A;146.48;72.84;121.0;3;90°;N/A;HSS;Titanium Nitride;N/A;3_E_10;5;1;4;1;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
End Mill;0;0;0;0;1;11WSC833;775.5133.2939;mm;Yes;Sandvik;SK-40;4.5;0.1772;23;N/A;N/A;N/A;78.0;54.0;66.74;1;N/A;N/A;HSS;Diamond;Type 2;2_E_12;2;0;2;0;N/A;3_C_9;N/A;N/A;25;tool;Single Flute End Mill
Sphere Mill;0;0;0;0;1;42IJX278;708.5705.5985;inch;No;KENNAMETAL;SK-40;3.175;0.125;37;N/A;N/A;N/A;96.5;18.0;24.0;8;N/A;0.06;VHM;None;Type 3;1_D_3;5;2;3;2;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
End Mill;0;0;0;0;1;18QLL690;734.9074.2135;inch;Yes;Garant;SK-40;12.7;0.5;35;N/A;N/A;N/A;94.0;38.0;59.58;9;30°;0.03;VHM;Aluminium Titanium Nitride;Type 2;6_A_10;5;5;0;1;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Chamfer Mill;1;0;1;1;0;26UGE329;725.1790.8567;inch;No;Sandvik;HSK-A63;3.175;0.125;22;N/A;N/A;N/A;156.0;21.0;36.21;4;45°;0.03;VHM;Titanium Nitride;Type 1;3_B_7;2;0;2;1;N/A;3_E_10;N/A;N/A;22;tool;Double-sided Chamfer Mill
Drill;0;0;0;0;1;18EKG800;778.8462.5478;mm;No;Niagara Cutter;HSK-A63;1.5;0.0591;35;N/A;N/A;N/A;80.45;23.0;29.61;4;90°;0.3;HSS;Diamond;Type 3;6_C_6;12;2;10;1;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
Sphere Mill;0;0;0;0;1;72WVG556;748.9306.8164;mm;No;KENNAMETAL;SK-40;6;0.2362;32;N/A;N/A;N/A;71.67;14.0;49.0;10;30°;1;VHM;Titanium Nitride;Type 2;1_F_2;10;2;8;6;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Sphere Mill;0;0;0;0;1;13ITX644;760.4164.8315;inch;Yes;Garant;HSK-A63;44.45;1.75;17;N/A;N/A;N/A;150.52;35.46;73.0;2;90°;0.06;VHM;Titanium Nitride;Type 1;6_B_10;0;0;0;0;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Sphere Mill;0;0;0;0;1;95GSW369;744.2614.1129;inch;Yes;Niagara Cutter;HSK-A63;19.05;0.75;49;N/A;N/A;N/A;166.62;19.45;100.15;5;30°;N/A;HSS;Diamond;Type 1;4_B_6;10;3;7;0;N/A;N/A;N/A;3_C_9;8;tool;Sphere Mill
Face Mill;1;0;1;1;0;14OIS782;701.3748.7569;inch;No;Garant;HSK-A63;31.75;1.25;30;N/A;N/A;N/A;141.73;26.0;56.02;8;45°;0.06;HSS;Aluminium Titanium Nitride;Type 1;3_E_13;10;1;9;5;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Chamfer Mill;0;0;0;0;1;11BCG105;798.4063.6203;inch;Yes;Garant;SK-40;25.4;1;44;N/A;N/A;N/A;72.0;18.0;36.05;4;45°;0.12;VHM;None;N/A;3_C_14;5;0;5;3;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Sphere Mill;0;0;0;0;1;48GCW778;736.4506.6822;mm;No;Sandvik;HSK-A63;2.5;0.0984;24;N/A;N/A;N/A;137.0;10.0;43.0;6;90°;N/A;VHM;Aluminium Titanium Nitride;Type 3;3_C_12;11;5;6;6;N/A;3_C_12;N/A;N/A;42;tool;Sphere Mill
T-Slot Mill;1;0;0;0;0;65HSO811;703.2731.3219;inch;No;Sandvik;HSK-A63;38.1;1.5;29;N/A;5;10.2609;165.0;14.76;27.0;6;45°;0.06;HSS;Aluminium Titanium Nitride;N/A;1_D_12;4;2;2;2;N/A;5_A_9;N/A;N/A;11;tool;Radius T-Slot Mill
T-Slot Mill;0;0;0;1;0;44XAU902;732.2603.7595;mm;Yes;Sandvik;SK-40;4.5;0.1772;11;N/A;12;13.3875;60.01;24.0;44.0;2;45°;N/A;VHM;Titanium Nitride;Type 2;6_B_2;1;0;1;1;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Chamfer Mill;0;0;0;0;0;42ZCU780;784.3953.9525;mm;No;Sandvik;SK-40;1.5;0.0591;36;N/A;N/A;N/A;92.0;67.0;71.97;3;30°;0.4;VHM;Titanium Nitride;Type 2;6_F_9;7;0;7;7;N/A;2_B_6;N/A;N/A;38;tool;Double-sided Chamfer Mill
Chamfer Mill;0;0;0;0;1;20XID518;740.7544.4683;mm;Yes;Niagara Cutter;HSK-A63;12;0.4724;28;N/A;N/A;N/A;96.0;13.0;55.0;5;N/A;N/A;HSS;None;N/A;2_C_15;3;1;2;2;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
